study_id,year,country,population,intervention,ve_against_disease,seroconversion_rate,vaccine_price_inr,cost_savings,icer,notes
41163052,2025,India,Adults,Fractional dose IPV,,,,,,Data from PubMed: Immunogenicity and safety of polio vaccines in inf...
41151831,2025,India,Adults,Fractional dose IPV,,,,,,Data from PubMed: Effectiveness of a clinic-based counselling interv...
41137610,2025,India,Adults,Fractional dose IPV,7.0,,,,,Data from PubMed: A Scoping Review of Intimate Partner Violence Inte...
41121992,2025,India,Adults,Fractional dose IPV,,,,,,Data from PubMed: Barriers and Facilitators of Help-Seeking Among As...
